run_id,started_at_utc,run_order,model,backend,prompt_size,rep,ambient_temp_c,start_cpu_temp_c,start_gpu_temp_c,idle_cooldown_s,warmup_completed,valid_power_samples,ttft_s,tps,max_cpu_temp,max_gpu_temp,delta_cpu_temp_c,delta_gpu_temp_c,dram_delta_mb,sys_energy_per_token_j,total_latency_s
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:29:03.380627+00:00,38,Llama-3.2-3B,gpu,long,1,N/A,86.625,58.0,15,True,109,9.19267249999939,26.4,90.75,68.0,4.125,10.0,2191.57421875,3.4174678708615733,10.956458799999382
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:29:47.945507+00:00,39,Llama-3.2-3B,hybrid,medium,1,N/A,93.875,75.0,15,True,22,2.896374799998739,12.843006523167642,93.75,75.0,-0.125,0.0,409.37109375,6.954616246364102,10.68271359999926
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:30:29.137568+00:00,40,Phi-3-mini-4k-instruct,npu,medium,1,N/A,53.25000762939453,50.0,15,True,41,1.2028373000011925,13.768551936197671,57.00000762939453,59.0,3.75,9.0,536.7109375,2.777627060292431,8.465765200000533
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:31:01.448300+00:00,41,Llama-3.2-3B,gpu,long,3,N/A,51.62500762939453,48.0,15,True,115,8.92086350000136,26.7,73.75000762939453,62.0,22.125,14.0,2219.3359375,2.883386213156846,11.536579700001312
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:31:32.593689+00:00,42,Llama-3.2-3B,gpu,short,1,N/A,52.62500762939453,49.0,15,False,50,1.8428957000014634,35.2,68.75000762939453,58.0,16.125,9.0,2209.46484375,1.9299749610089507,4.941088200001104
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:32:05.439215+00:00,43,Llama-3.2-3B,npu,short,2,N/A,51.87500762939453,48.0,15,True,31,0.3190138999998453,22.933764170090242,53.12500762939453,51.0,1.25,3.0,25.5625,1.6316272619351013,4.679397099998823
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:32:34.834898+00:00,44,Phi-3-mini-4k-instruct,gpu,medium,3,N/A,51.25000762939453,48.0,15,True,88,3.628015599999344,20.3,67.50000762939453,55.0,16.25,7.0,4223.359375,3.4768843131733496,8.981054399999266
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:33:06.938005+00:00,45,Phi-3-mini-4k-instruct,hybrid,medium,2,N/A,51.87500762939453,49.0,15,True,28,1.2146489000006113,27.909688267755797,54.25000762939453,53.0,2.375,4.0,25.10546875,1.9616843970003401,4.797634100001233
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:33:31.583023+00:00,46,Phi-3-mini-4k-instruct,hybrid,short,3,N/A,50.75000762939453,47.0,15,False,24,0.3970933000000514,31.261104530474107,53.37500762939453,50.0,2.625,3.0,21.58203125,1.584770193208375,3.595956600000136
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:34:03.547940+00:00,47,Llama-3.2-3B,npu,long,1,N/A,50.50000762939453,47.0,15,True,43,3.946716500000548,18.621207234838128,55.25000762939453,55.0,4.75,8.0,131.9609375,2.1418439968604575,9.316937600000529
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:34:42.513025+00:00,48,Phi-3-mini-4k-instruct,npu,long,3,N/A,50.12500762939453,47.0,15,True,40,17.76724490000015,9.77680712767642,56.37500762939453,63.0,6.25,16.0,322.1171875,3.096614222274755,27.99553299999934
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:35:40.638923+00:00,49,Llama-3.2-3B,npu,medium,3,N/A,51.00000762939453,48.0,15,True,29,0.8296313000009832,22.06387956476004,52.62500762939453,52.0,1.625,4.0,32.62890625,1.8785579272409225,5.361925799999881
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:36:11.812282+00:00,50,Llama-3.2-3B,hybrid,medium,3,N/A,50.12500762939453,47.0,15,True,32,0.8299129999995785,22.732822635925515,52.25000762939453,52.0,2.125,5.0,38.859375,1.7925622635000582,5.228838799999721
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:36:40.491869+00:00,51,Phi-3-mini-4k-instruct,gpu,short,2,N/A,49.75000762939453,47.0,15,True,56,1.9799363000001904,28.5,66.37500762939453,56.0,16.625,9.0,4149.00390625,2.6066595116886653,5.839797500000714
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:37:06.598991+00:00,52,Phi-3-mini-4k-instruct,gpu,medium,2,N/A,50.75000762939453,47.0,15,False,86,3.5557877000010194,20.4,67.25000762939453,56.0,16.5,9.0,4231.08984375,3.3080447889905304,8.911506500000542
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:37:43.862039+00:00,53,Llama-3.2-3B,npu,medium,1,N/A,50.37500762939453,47.0,15,True,31,0.8390912000013486,22.310927495156278,52.62500762939453,53.0,2.25,6.0,31.4296875,1.674284438322306,5.321199800000613
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:38:12.984640+00:00,54,Llama-3.2-3B,gpu,long,2,N/A,49.37500762939453,46.0,15,True,129,8.873501600000964,26.8,67.50000762939453,58.0,18.125,12.0,2226.33203125,2.7659205326009206,12.926810200000546
